Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,19.590000,20.010000,19.540001,20.010000,19.234995,39141700
2018-08-02,19.990000,20.780001,19.950001,20.410000,19.619503,69008900
2018-08-03,21.400000,21.549999,21.090000,21.110001,20.292391,86908000
2018-08-06,21.150000,21.469999,20.980000,21.040001,20.225101,44528300
2018-08-07,21.330000,21.459999,20.570000,20.709999,19.907881,69136700
2018-08-08,20.809999,21.070000,20.120001,20.139999,19.359957,58211500
2018-08-09,20.260000,20.350000,19.799999,20.340000,19.552214,51253100
2018-08-10,20.100000,20.150000,19.360001,19.590000,18.831261,61789800
2018-08-13,19.500000,20.040001,19.270000,20.040001,19.263834,58306700
2018-08-14,20.280001,20.309999,19.730000,19.980000,19.254194,55180600
2018-08-15,19.639999,19.670000,19.049999,19.049999,18.357979,65651700
2018-08-16,19.320000,19.350000,18.770000,18.950001,18.261612,51201600
2018-08-17,18.750000,18.860001,18.400000,18.459999,17.789412,68328400
2018-08-20,18.370001,18.510000,18.090000,18.360001,17.693045,56315600
2018-08-21,18.270000,18.530001,17.650000,17.719999,17.076292,68735300
2018-08-22,17.700001,18.379999,17.650000,18.350000,17.683407,56623700
2018-08-23,18.350000,18.520000,17.879999,17.950001,17.297939,56284100
2018-08-24,18.350000,18.440001,18.049999,18.299999,17.635223,37893000
2018-08-27,18.410000,18.760000,18.299999,18.709999,18.030329,35428000
2018-08-28,18.760000,18.850000,18.340000,18.350000,17.683407,38079200
2018-08-29,18.500000,19.309999,18.450001,19.299999,18.598896,71434300
2018-08-30,19.150000,19.540001,18.680000,18.799999,18.117060,63981900
2018-08-31,18.950001,19.430000,18.910000,19.260000,18.560350,75767400
2018-09-03,18.990000,19.129999,18.760000,19.000000,18.309795,25401600
2018-09-04,19.129999,19.190001,18.620001,18.650000,17.972509,39759800
2018-09-05,18.559999,18.799999,18.230000,18.750000,18.068876,53967300
2018-09-06,18.990000,19.020000,18.480000,18.990000,18.300158,54304300
2018-09-10,19.360001,19.600000,19.049999,19.260000,18.560350,58578100
2018-09-11,18.870001,18.889999,18.430000,18.500000,17.827957,56495200
2018-09-12,18.809999,19.219999,18.639999,18.950001,18.261612,59695700
2018-09-13,19.030001,19.129999,18.620001,18.709999,18.030329,36808700
2018-09-14,18.799999,18.959999,18.480000,18.790001,18.107424,55756300
2018-09-17,18.629999,19.490000,18.629999,19.400000,18.695265,71289500
2018-09-18,19.500000,20.250000,19.469999,20.250000,19.514387,72959100
2018-09-19,19.930000,20.459999,19.830000,19.980000,19.254194,60563700
2018-09-20,20.260000,20.350000,19.750000,19.870001,19.148191,56206900
2018-09-21,20.150000,20.299999,19.950001,20.139999,19.408381,58517300
2018-09-24,20.200001,20.410000,19.920000,20.000000,19.273468,54332900
2018-09-25,19.700001,20.150000,19.530001,20.080000,19.350561,54462300
2018-09-26,20.240000,20.299999,19.969999,20.190001,19.456566,60060800
2018-09-27,20.500000,21.459999,20.469999,21.459999,20.680431,104177300
2018-09-28,21.129999,21.940001,21.020000,21.090000,20.323874,91254600
2018-10-01,21.250000,21.360001,20.799999,21.000000,20.237143,56540400
2018-10-02,22.000000,22.820000,21.900000,22.820000,21.991028,127231800
2018-10-03,null,null,null,null,null,null
2018-10-04,23.450001,24.520000,23.209999,24.020000,23.147436,99743300
2018-10-05,24.490000,24.590000,23.660000,23.959999,23.089613,104693400
2018-10-08,null,null,null,null,null,null
2018-10-09,null,null,null,null,null,null
2018-10-10,26.309999,26.389999,25.650000,26.049999,25.103693,82688000
2018-10-11,26.549999,26.750000,25.059999,25.290001,24.371302,119307500
2018-10-15,25.900000,26.120001,25.549999,25.770000,24.833864,92331900
2018-10-16,26.200001,26.730000,26.090000,26.730000,25.758989,74144800
2018-10-17,26.440001,26.629999,26.260000,26.450001,25.489164,80990300
2018-10-18,26.290001,26.340000,25.700001,25.700001,24.766407,56268900
2018-10-19,26.290001,26.340000,25.700001,25.920000,24.978416,61858300
2018-10-22,26.270000,26.600000,26.270000,26.530001,25.566257,63678000
2018-10-23,26.150000,26.480000,25.809999,26.200001,25.248243,77457300
2018-10-24,26.410000,26.990000,25.680000,25.680000,24.747135,93377100
2018-10-25,26.180000,26.639999,25.690001,26.320000,25.363884,79732200
2018-10-26,26.650000,27.600000,26.120001,27.600000,26.597387,110184900
2018-10-29,26.750000,27.270000,25.969999,26.420000,25.460251,160890100
2018-10-30,26.700001,28.000000,26.420000,28.000000,26.982857,107525500
2018-10-31,28.260000,28.330000,27.299999,27.620001,26.616661,84131500
